country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Latin America & Caribbean (excluding high income),8307.33,7975.72,8811.14,8468.2,8266.47,6892.38,7955.36,9093.65,10166.93,10344.67
Latin America & the Caribbean (IDA & IBRD countries),8616.96,8301.81,9163.65,8875.74,8654.95,7240.3,8382.43,9482.78,10593.12,10784.32
Latvia,13321.98,13838.53,15132.5,17252.17,17294.98,17564.23,20261.89,20227.23,22675.58,23367.6
Least developed countries: UN classification,970.92,963.95,1030.33,1072.37,1104.19,1088.7,1161.53,1273.79,1254.23,1325.31
Lebanon,7714.11,8089.01,8608.21,9174.54,8905.88,5561.19,4045.37,3654.36,3477.72,
Lesotho,1121.2,992.49,1069.37,1170.66,1082.06,918.58,1066.59,1030.13,916.28,971.81
Liberia,692.59,714.61,699.27,692.2,658.16,616.79,667.97,744.62,799.19,846.28
Libya,7458.49,7525.8,9965.83,11196.59,9963.19,6650.34,4935.83,5986.64,6172.81,6318.4
Liechtenstein,167187.16,165375.49,170547.09,174988.78,166907.84,164671.09,201944.83,186821.88,207973.62,
Lithuania,14269.8,14934.27,16800.15,19247.23,19608.79,20428.65,23870.46,25085.78,27786.01,29386.29
Low & middle income,4282.05,4269.77,4607.32,4846.86,4904.42,4698.52,5485.92,5702.28,5819.84,5974.8
Low income,736.65,630.77,635.48,647.16,654.94,607.96,643.37,723.5,697.17,746.93
Lower middle income,1843.92,1892.71,2019.5,2078.76,2153.95,2058.43,2302.45,2424.15,2443.41,2517.63
Luxembourg,105462.01,106899.29,110193.21,116926.76,112696.65,116860.03,134965.82,123719.66,131407.68,137516.59
"Macao SAR, China",70070.29,69074.04,77704.92,83761.82,81967.7,36976.26,45376.31,36909.96,67476.53,73046.89
Madagascar,445.32,453.97,491.87,500.46,499.82,450.77,483.47,503.51,508.72,545
Malawi,539.61,450.51,495.77,533.2,580.89,602.51,617.45,604.27,602.34,508.37
Malaysia,9648.68,9476.53,9862.55,10901.8,10920.19,9957.53,10903.11,11748.09,11379.09,11867.26
Maldives,9644.91,9947.81,10509.63,11423.28,11740.27,7393.89,10176.14,11786.01,12530.36,13215.54
Mali,838.12,872.47,924.06,996.38,971.95,953.24,1027.27,969.72,1035.86,1086.18
Malta,25529.68,26459.08,30317.24,33382.27,32421.92,31833.6,38065.35,36224.28,40182.43,42347.31
Marshall Islands,3764.34,4229.81,4592.83,4858.12,5292.34,5661.97,6258.61,6322.83,6678.34,7466.65
Mauritania,1554.95,1565.77,1615,1722.94,1767.07,1795.76,1947.79,1960.35,2120.82,2082.78
Mauritius,9507.87,9965.73,10841.68,11643.46,11403.25,9011.04,9068.97,10223.79,11182.19,11871.73
Mexico,10021.24,9097.92,9649.28,10084.79,10369.56,8841.27,10314.05,11402.14,13826.13,14157.94
"Micronesia, Fed. Sts.",2911.16,2979.6,3279.11,3566.59,3572.66,3362.03,3508.22,3710.12,3941.37,4166
"Middle East, North Africa, Afghanistan & Pakistan",5108.83,5080.74,5232.3,5509.56,5371.49,4707.82,5575.27,6383.4,6063.05,6180.86
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2799.45,2828.1,2822.36,2784.51,2667.56,2375.47,2712.78,2970.11,2792.71,2905.83
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2802.63,2832.83,2827.77,2789.83,2674.37,2381.43,2719.53,2975.96,2797.41,2903.6
Middle income,4599.81,4600.23,4973.54,5240.74,5310.45,5096.74,5966,6205.55,6347.75,6524.26
Moldova,2749.55,2847.09,3453.27,4156.45,4405.33,4375.78,5274.61,5744.3,6799.59,7617.52
Monaco,170437.1,173604.75,170663.38,188298.32,193746.79,176891.89,223823.36,226052,256580.52,
Mongolia,3838.92,3619.9,3645.97,4107.64,4347.55,4001.25,4517.62,4993.51,5838.63,6691.48
Montenegro,6491.19,6999.14,7758.37,8790.88,8842.49,7612.63,9377.49,9990.2,12077.37,12935.45
Morocco,3146.25,3140.86,3296.53,3501.7,3508.1,3268.03,3785.94,3455.4,3771.45,3993.39
Mozambique,610.56,441.49,470.94,517.51,519.09,462.43,509.91,578.25,622.99,647.29
Myanmar,1166.73,1229.2,1272.82,1298.21,1425.99,1490.22,1242.72,1158.05,1233.2,1359.26
Namibia,4774.11,4395.69,5143.96,5308.61,4731.92,3878.59,4412.84,4349.8,4187.61,4413.13
Nauru,7703.43,8724.31,9613.41,11408.69,10776.83,10695.7,14989.66,12896.43,12754.19,13421.83
Nepal,875.54,877.26,1034.28,1179.2,1203.14,1154.22,1252.75,1385.91,1382.33,1447.31
Netherlands,45793.81,46808.53,49513.68,53955.08,53554.9,53467.93,60141.99,59123.32,64572.01,68218.73
New Caledonia,30858.72,30782.85,32354.71,34902.9,33411.34,33270.33,35311.55,33516.36,,
New Zealand,38665.37,40113.72,42950.38,43257.08,42779.23,41850.92,49689.5,48760.04,48654.9,48747.01
Nicaragua,2074.46,2131.69,2182.61,2035.17,1958.62,1938.45,2138.39,2322.89,2609.44,2847.54
Niger,485.66,502.71,521.8,578.57,561.69,579.51,608.72,609.75,638.34,722.75
Nigeria,2585.73,2070.41,1876.34,2057.88,2265.16,2019.66,2017.27,2139.37,1596.64,806.95
North America,55534.46,56416.79,58555.89,61228.2,63306.8,62262.64,69412.91,75613.45,79326.91,82406.48
North Macedonia,5262.69,5598.49,5955.3,6713.99,6718.86,6659.6,7620.8,7606.24,8624.28,9310.03
Northern Mariana Islands,17665.1,24225.47,31225.6,26509.36,24496.67,18220.84,19455.5,23785.75,,
Norway,74809.97,70867.36,76131.84,82792.84,76430.59,68340.02,93072.89,109269.52,87497.33,86809.72
OECD members,35772.53,36236,37617.86,39539.19,39718.01,38704.98,43149.61,44046.43,46672.51,48454.7
Oman,18808.31,17110.19,17820.07,19901.76,19180.19,16784.86,19403.46,23223.58,20972.48,20248.42
Other small states,10334.1,10776.87,11912.48,12980.34,12871.17,11728.95,13671.46,14298.1,15151.47,15867.67
Pacific island small states,3721.79,3853.81,4096.99,4245.78,4170.32,3666.09,3649.53,3888.63,4153.2,4399.41
Pakistan,1380.47,1424.69,1519.23,1569.34,1390.42,1278.4,1455.32,1538.32,1365.17,1484.75
Palau,15690.76,16762.57,16034.13,16197.73,15841.2,14556.59,13257.21,14392.2,15899.42,
Panama,14082.65,14832.36,15694.63,16151.33,16477.91,13290.56,15509.81,17332.44,18686.41,19102.85
Papua New Guinea,2484.6,2316.39,2477.77,2566.37,2575.77,2429.61,2607.58,3102.29,2966.07,3076.49
Paraguay,5879.34,5775.16,6152.27,6258.45,5821.18,5365.47,5976.93,6205.63,6299.99,6416.1
Peru,6231.71,6217.04,6736.17,6978.49,7037.01,6133.33,6826.2,7350.63,7887.54,8452.37
Philippines,2909.86,2985.2,3038.12,3168.51,3400.79,3227.58,3484.39,3548.07,3804.08,3984.83
Poland,12637.52,12464.01,13913.34,15658.21,15874.52,16150.93,18635.51,18891.21,22145.26,25022.67
Portugal,19215.78,19980.28,21442.38,23541.14,23343.36,22299.4,24711.45,24620.52,27386.29,28844.5
Post-demographic dividend,40767.67,41511.11,43134.09,45528.33,45864.97,44887.38,50022.04,51102.36,53961.34,55865.79
Pre-demographic dividend,1508.89,1307.19,1327.76,1439.93,1476.62,1320.71,1412.71,1577.72,1416.33,1290.2
Puerto Rico (US),29242.04,29978.09,30328.49,30679.92,31830.53,31427.11,32619.07,35353.68,36948.4,39285.02
Qatar,68985.29,61253.64,63279.86,71039.85,66841.3,51683.51,71751.88,88701.46,80195.87,76275.91
Romania,8977.02,9404.54,10727.98,12502.26,12992.03,13082.3,14986.79,15557.88,18404.27,20072.41
Russian Federation,9277.71,8663.16,10658.91,11211.89,11447.7,10108.33,12425.03,15619.61,14159.39,14889.02
Rwanda,734,729.52,758.3,771.77,810.05,778.7,829.54,975.47,1027.03,999.65
Samoa,4084.36,4147.07,4307.59,4231.81,4351.94,4099.66,3947.65,3869.47,4330.18,4898.77
San Marino,43146.82,44359.48,45192.03,47950.69,46627.01,44426.65,54168.98,54264.57,,
Sao Tome and Principe,1298.11,1434.87,1555.79,1825.6,1935.29,2167.22,2362.59,2389.74,2940.93,3244.83
Saudi Arabia,23256.15,22267.72,23929.29,29360.07,29566.79,24338.83,31920.77,38510.23,36156.85,35057.23
Senegal,1218.01,1266.44,1356.81,1452.56,1431.18,1461.09,1598.11,1574.03,1698.03,1743.99
Serbia,5820.32,5982.37,6548.04,7559.86,7755.63,8098.71,9680.53,10022.97,12281.51,13523.72
Seychelles,15333.11,16566.99,17480.37,18440.23,19141.51,14041.48,14982.91,16836.67,18262.71,17858.82
Sierra Leone,964.58,844.42,779.19,845.91,844.05,845.98,886.19,860.77,757.85,873.39
Singapore,55645.61,57005.59,61236.25,66881.61,65952.04,61410.08,80056.13,90299.07,85412.23,90674.07
Sint Maarten (Dutch part),37839.63,37308.61,34701.31,31708.31,34861.47,30150.9,32548.44,36476.63,38077.54,40027.92
Slovak Republic,16442.08,16636.08,17645.53,19573.37,19406.06,19735.49,22132.45,21334.6,24673.55,26147.9
Slovenia,20697.27,21447.84,23303.08,25888.05,25814.17,25392.07,29187.37,28373.84,32610.11,34089.35
Small states,10408.66,10444.27,11271.79,12009.79,11958.51,10699.29,12369.06,13598.11,14222.97,15291.7
Solomon Islands,2045.48,2082.63,2143.57,2278.21,2223.67,2063.33,1996.87,2005.41,2076.11,2149.38
Somalia,445.58,460.93,510.94,509.53,539.89,518.18,549.11,573.13,597.46,636.98
South Africa,6112.27,5651.21,6618.34,6914.18,6533.71,5580.6,6843.4,6523.41,6022.54,6253.37
South Asia,1570.54,1722.91,1956.07,1988.37,2067.06,1957.2,2273.72,2385.08,2532.38,2691.65
South Asia (IDA & IBRD),1570.54,1722.91,1956.07,1988.37,2067.06,1957.2,2273.72,2385.08,2532.38,2691.65
South Sudan,1080.15,,,,,,,,,
Spain,25982.44,26755.61,28381.34,30602.42,29786.52,27233.94,30799.48,30270.27,33509.01,35297.01
Sri Lanka,4057.72,4149.19,4398.89,4358.56,4081.95,3847.6,3996.96,3342.64,3798.89,4515.57
St. Kitts and Nevis,20328.8,21387.54,22464.99,22901.38,23595.49,18859.02,18361.14,20985.01,22600.45,22771.42
St. Lucia,10334.99,10638.13,11333.11,11642.7,11794.06,8411.07,10459.13,13103.82,13554.77,14181.63
St. Martin (French part),,,,,19033.06,,21668.37,,,
St. Vincent and the Grenadines,7353.74,7656.9,7988.04,8428.13,8740.59,8351.2,8641.28,9693.56,10582.37,11501.23
Sub-Saharan Africa,1635.04,1452.27,1542.24,1612.74,1617.67,1480.48,1621.1,1696.44,1580.79,1516.35
Sub-Saharan Africa (IDA & IBRD countries),1635.04,1452.27,1542.24,1612.74,1617.67,1480.48,1621.1,1696.44,1580.79,1516.35
Sub-Saharan Africa (excluding high income),1747.88,1536.05,1630.63,1708.8,1705.21,1544.44,1700.42,1772.66,1614.14,1506.23
Sudan,1292.38,1033.22,966.51,731.03,709.98,577.8,712.12,1046.24,797.28,989.31
Suriname,8813.62,5644.21,6049.52,6665.74,6629.67,4755.39,5029.85,6084.44,5494.07,7430.7
Sweden,51197.95,51820.4,53300.86,54181.91,51773.05,52653.76,61174.97,55296.94,55567.09,57723.23
Switzerland,83806.45,82153.07,82254.38,85217.37,84121.93,85897.78,93664.77,94394.51,100631.8,103669.87
Syrian Arab Republic,847.73,656.35,851.5,1098.07,1109.54,572.36,663.61,1051.67,847.37,
Tajikistan,956.92,788.71,829.46,834.29,871.02,834.31,896.75,1052.18,1178.48,1341.2
Tanzania,939.13,953.01,986.67,1023.11,1063.32,1117.42,1159.86,1207.85,1224.49,1185.75
Thailand,5688.85,5833.58,6413.09,7099.78,7605.7,6985.64,7057.21,6909.35,7195.1,7345.14
Timor-Leste,1319.59,1335.54,1266.18,1219.47,1562.36,1630.87,2684.83,2343.25,1502.52,1343.15
Togo,751.05,772.58,792.77,851.13,826.26,853.58,939.61,898.76,985.7,1043.14
Tonga,4123.9,3987.99,4365.93,4638.9,4676.85,4700.45,4912.58,4933.07,4863.76,
Trinidad and Tobago,19887.23,17449.16,17578.64,17575.8,17293.47,15358.86,17679.18,20874.38,18639.26,19314.72
Tunisia,4014.95,3847.8,3619.03,3628.1,3528.87,3548.65,3906.94,3708.85,3950.38,4350.37
Turkiye,11050,10970.05,10695.55,9568.84,9215.44,8638.74,9743.21,10674.5,13105.66,15473.29
Turkmenistan,5759.5,5686.98,5828.48,6125.05,6648.03,6592.6,7051.2,8156.35,8232.65,8571.61
Turks and Caicos Islands,25736.1,26946.42,25614.84,31625.62,31780.52,20690.92,27329.29,31280.54,35470.22,37506.78
Tuvalu,3357.83,3808.7,4165.66,4466.12,5115.13,4976.11,5905.08,5911.33,6344.78,
Uganda,862.93,752.7,765.22,792.17,822.17,845.77,882.79,963.07,1002.31,1072.71
Ukraine,2094.47,2158.46,2604.29,3059.05,3619.86,3709.77,4775.95,4199.67,5139.6,5389.47
United Arab Emirates,43535,41326.4,42340.59,45689.86,44251.45,37173.88,43360.02,49899.07,49040.69,49377.56
United Kingdom,44983.89,40988.1,40629.23,43315.49,42794,40404.81,46926.48,46062.99,49200.81,52636.79
United States,56849.47,57976.63,60047.72,62875.67,65227.96,64401.51,71307.4,77860.91,82304.62,85809.9
Upper middle income,7434.6,7404.71,8053.63,8559.83,8647.4,8334.91,9905.06,10310.87,10631.32,10961.82
Uruguay,17125.9,17009.76,19184.65,19249.94,18315.73,15757.54,17881.82,20818.61,23019.42,23906.51
Uzbekistan,2803.19,2753.38,2190.6,1813.09,2041.38,1978.28,2258.52,2578.67,2878.97,3161.7
Vanuatu,2854.89,2956.13,3159.86,3206.66,3207.45,3042.99,3211.72,3292.34,3515.24,3542.81
"Venezuela, RB",,,,,,,,,,
Viet Nam,2577.57,2735.06,2956.11,3222.31,3440.9,3534.04,3704.19,4147.7,4323.35,4717.29
Virgin Islands (U.S.),34007.35,35324.97,35365.07,36663.21,38633.53,39787.37,42571.08,44320.91,,
West Bank and Gaza,3272.15,3527.61,3620.36,3562.33,3656.86,3233.57,3678.64,3799.96,3455.03,2592.31
World,10175.41,10221.37,10765.27,11326.93,11376.82,10963.18,12418.57,12819.74,13263.62,13673
"Yemen, Rep.",1362.17,975.36,811.17,633.89,623.38,559.56,522.17,615.7,426.35,433.17
Zambia,1295.88,1239.09,1483.47,1463.9,1258.99,951.64,1127.16,1447.12,1330.73,1235.08
Zimbabwe,1386.42,1407.42,3448.09,2271.85,1683.91,1730.45,1724.39,2040.55,2156.03,2656.41
